Date,FII_Gross_Purchase_Cr,FII_Gross_Sales_Cr,FII_Net_Cr,DII_Gross_Purchase_Cr,DII_Gross_Sales_Cr,DII_Net_Cr
2026-08-03,12621.9,11699.6,922.3,18326.0,16754.8,1571.2
2026-08-04,15630.4,13184.0,2446.5,15241.4,16177.5,-936.1
2026-08-05,15940.5,16883.9,-943.4,19353.4,16470.3,2883.2
2026-08-06,16161.4,16179.2,-17.9,19723.7,15710.1,4013.6
2026-08-07,12941.3,12461.1,480.2,15679.6,15444.0,235.6
2026-08-10,13161.6,11186.8,1974.8,15868.5,17158.8,-1290.3
2026-08-11,14628.5,14369.9,258.6,15006.7,14982.0,24.8
2026-08-12,16584.6,17587.1,-1002.5,21518.6,15676.9,5841.7
2026-08-13,14492.5,15003.2,-510.7,16565.1,12212.0,4353.1
2026-08-14,16142.6,15791.3,351.3,509.6,2032.7,-1523.1
2026-08-17,11546.2,14081.3,-2535.1,16654.1,11552.6,5101.5
2026-08-18,13543.3,11891.8,1651.5,15566.1,12986.8,2579.3
2026-08-19,12875.8,12467.8,408.0,17288.6,13314.9,3973.7
2026-08-20,11411.7,11995.1,-583.4,16932.7,13395.0,3537.7
2026-08-21,12560.9,13103.6,-542.7,15258.7,13134.6,2124.1
2026-08-24,12332.6,11151.0,1181.7,15337.2,12843.8,2493.4
2026-08-25,13259.0,11665.5,1593.5,14280.2,14049.9,230.3
2026-08-26,17520.5,17017.9,502.6,17710.1,11284.9,6425.2
2026-08-27,15276.9,15575.2,-298.3,19605.6,14628.4,4977.2
2026-08-28,13263.6,18303.4,-5039.8,16539.4,11355.4,5183.9
2026-09-01,17807.5,16664.2,1143.4,15635.5,13788.6,1846.9
2026-09-02,26715.9,20027.5,6688.4,17639.9,14826.9,2813.0
2026-09-03,13596.0,15941.9,-2345.9,17063.6,12086.2,4977.5
